,词语,词频
262,实事求是,68
263,抓住,107
264,机遇,109
265,开拓进取,33
266,道路,147
267,就,2569
268,越,165
269,走,538
270,宽广,7
271,祖国,334
272,完全,186
273,统一,428
274,海内外,33
275,全体,126
276,人,2701
277,心愿,24
278,葡,4
279,基本法,12
280,月,3123
281,回归,104
282,实现,684
283,领土,30
284,不可分割,5
285,部分,317
286,完成,348
287,大势所趋,7
288,民心所向,1
289,任何,219
290,企图,32
291,制造,89
292,两,1932
293,个,2630
294,一中一台,5
295,独立,92
296,图谋,9
297,注定,5
298,要,2897
299,失败,36
300,当局,120
301,以,2314
302,民族,565
303,大义,13
304,为重,21
305,拿,204
306,出,1233
307,诚意,23
308,采取,425
309,实际,399
310,推动,311
311,两岸,349
312,文化,878
313,人员,776
314,往来,43
315,直接,265
316,通邮,11
317,通航,21
318,通商,12
319,早日,50
320,尽早,45
321,回应,25
322,发出,111
323,原则,272
324,下,1298
325,进行,1319
326,谈判,184
327,郑重,34
328,呼吁,110
329,全球,123
330,日益,99
331,密切,119
332,联系,215
333,日新月异,15
334,科技,722
335,进步,189
336,正在,255
337,为,4677
338,提供,515
339,但是,209
340,安宁,12
341,南北,13
342,之间,289
343,贫富,10
344,差距,60
345,局部,31
346,冲突,87
347,时有发生,7
348,公正,47
349,合理,181
350,旧,124
351,政治,522
352,秩序,109
353,没有,923
354,根本,227
355,改变,173
356,激烈,72
357,竞争,271
358,仍,305
359,处于,120
360,弱势,2
361,地位,216
362,人类,166
363,生存,60
364,种种,59
365,威胁,56
366,挑战,109
367,前景,104
368,光明,29
369,也,2789
370,可能,339
371,一帆风顺,3
372,关键,196
373,团结,220
374,起来,419
375,建立,606
376,坚持,491
377,奉行,12
378,独立自主,22
379,政策,663
380,和平共处,13
381,五,326
382,项,575
383,基础,554
384,同,608
385,愿意,76
386,联合国,262
387,协调,149
388,经贸,133
389,保护,275
390,环境,424
391,消除,87
392,贫困,364
393,打击,120
394,犯罪,249
395,方面,814
396,永远,61
397,维护,170
398,力量,264
399,愿,98
400,一道,35
401,持久,31
402,而,1504
403,不懈努力,13
404,辞旧迎新,16
405,美好,83
406,时刻,83
407,祝,79
408,大家,240
409,快乐,41
410,家庭,268
411,幸福,78
412,北京,1327
413,电,1232
414,十五大,382
415,精神,686
416,胜利,112
417,元旦,100
418,献辞,4
419,即将,98
420,丰收,75
421,喜悦,30
422,送,474
423,牛年,14
424,昂扬,6
425,斗志,4
426,迎来,40
427,虎年,113
428,生机,26
429,过去,342
430,大气磅礴,6
431,波澜壮阔,6
432,核心,135
433,党中央,187
434,领导,1124
435,全党,61
436,坚定不移,35
437,沿着,20
438,阔步,3
439,写,277
440,辉煌,67
441,篇章,15
442,党,777
443,件,269
444,大事,62
445,办,344
446,得,850
447,圆满,43
448,稳中求进,20
449,实力,121
450,增强,236
451,危机,315
452,风浪,5
453,波及,17
454,许多,501
455,我国,1135
456,形势,270
457,整个,197
458,成绩,229
459,全面,451
460,可喜,26
461,突破,169
462,威望,7
463,提高,935
464,实践,284
465,使,1317
466,亿万,11
467,更加,230
468,信仰,14
469,信赖,15
470,光辉,34
471,信心,128
472,贯彻,264
473,落实,315
474,提出,589
475,任务,407
476,第一,792
477,各,678
478,条,650
479,战线,78
480,繁重,26
481,深,146
482,层次,100
483,矛盾,142
484,问题,1709
485,有待,17
486,解决,709
487,国有,430
488,已经,457
489,进入,372
490,攻坚,56
491,阶段,260
492,必须,555
493,深入,299
494,学习,434
495,掌握,107
496,统揽全局,24
497,精心,77
498,部署,150
499,狠抓,57
500,一致,142
501,艰苦奋斗,70
502,开拓,121
503,夺取,34
504,今年,515
505,奋斗,104
506,十一,36
507,届,470
508,三中全会,26
509,周年,128
510,转折,12
511,里,890
512,大力,207
513,发扬,84
514,以来,448
515,所,904
516,优良,95
517,传统,415
518,形成,446
519,作风,108
520,具有,400
521,意义,243
522,更,1058
523,思想,456
524,路线,89
525,精髓,8
526,证明,132
527,只有,175
528,才,517
529,能,1440
530,冲破,11
531,切合,15
532,或者,205
533,过时,16
534,观念,170
535,束缚,23
536,真正,199
537,做到,114
538,尊重,91
539,认识,298
540,客观,89
541,规律,105
542,勇于,27
543,创新,112
544,局面,145
545,里程碑,4
546,认真,261
547,结,42
548,丰硕,15
549,中心,415
550,基本,480
551,观点,88
552,内容,283
553,这个,611
554,正确,167
555,今后,155
556,能否,50
557,仍然,112
558,看,599
559,搞,219
560,上去,28
561,各级,334
562,干部,928
563,切实,151
564,精力,48
565,集中,219
566,到,2812
567,关于,270
568,总体,103
569,要求,705
570,能力,329
571,水平,628
572,两手抓,14
573,两手,10
574,硬,40
575,同时,668
576,推进,310
577,富强,12
578,文明,363
579,离,91
580,开,309
581,保证,260
582,依据,49
583,初级,63
584,理论,333
585,根据,335
586,现在,361
587,抓好,108
588,求真务实,6
589,群众,979
590,落到实处,21
591,当前,179
592,又,1304
593,出现,432
594,这样,475
595,意愿,13
596,重视,329
597,首创,9
598,关心,173
599,疾苦,19
600,强调,386
601,指出,502
602,倡导,32
603,说实话,4
604,实事,71
605,鼓,8
606,实劲,1
607,讲,320
608,实效,30
609,坚决,153
610,制止,48
611,追求,86
612,表面文章,7
613,花架子,4
614,形式主义,17
615,杜绝,13
616,脱离,36
617,浮躁,6
618,虚夸,4
619,官僚主义,13
620,因此,281
621,务必,10
622,牢记,19
623,全心全意,36
624,服务,745
625,宗旨,56
626,勤政廉政,5
627,以身作则,14
628,当,411
629,表率,20
630,中华,96
631,催,16
632,进取,18
633,征途,4
634,奋发,3
635,英雄,82
636,坚强,28
637,举起,5
638,扎实,48
639,奋勇,10
640,创造,268
641,举行,662
642,音乐会,97
643,李,1066
644,鹏,239
645,乔,66
646,石,142
647,朱,208
648,镕基,51
649,瑞环,51
650,刘,693
651,华清,10
652,尉,54
653,健行,75
654,岚清,128
655,万,1974
656,名,971
657,首都,197
658,各界,136
659,劳动模范,30
660,代表,428
661,一起,224
662,领导人,184
663,欣赏,30
664,精彩,46
665,节目,174
666,演出,285
667,结束,232
668,后,1436
669,合影,19
670,樊,17
671,如钧,2
672,讯,700
673,陈,559
674,雁,16
675,本报,206
676,何,175
677,加正,4
678,报道,744
679,度过,32
680,非凡,7
681,今晚,59
682,大会堂,63
683,激昂,4
684,奋进,22
685,音乐声,1
686,长安街,3
687,流光溢彩,9
688,火树银花,4
689,灯火辉煌,6
690,欢乐,55
691,祥和,41
692,喜庆,60
693,气氛,106
694,场,249
695,由,1123
696,中共,78
697,市委,197
698,宣传部,45
699,市政府,115
700,办公厅,37
701,单位,621
702,主办,74
703,题,41
704,携手,20
705,共,394
706,奏,7
707,华章,1
708,三,1024
709,著名,164
710,交响乐团,20
711,上海,427
712,首,359
713,联袂,9
714,指挥家,7
715,佐湟,2
716,燮阳,3
717,谭,41
718,利华,3
719,分别,266
720,指挥,91
721,演奏,35
722,批,410
723,中外,38
724,名曲,11
725,京,239
726,沪,30
727,两地,14
728,多,2902
729,位,833
730,音乐家,11
731,组成,165
732,大型,193
733,乐队,8
734,饱满,8
735,激情,16
736,精湛,11
737,技艺,7
738,观众,215
739,奉献,66
740,台,235
741,水准,20
742,交响音乐会,2
743,雄壮,5
744,管弦乐,5
745,红旗,15
746,颂,5
747,拉开,44
748,帷幕,19
749,舒展,5
750,优美,32
751,乐曲声,6
752,人们,569
753,仿佛,39
754,看到,305
755,五星红旗,15
756,天安门,21
757,城楼,2
758,冉冉,6
759,升起,14
760,听到,49
761,征程,7
762,脚步声,3
763,钢琴,85
764,管弦乐队,1
765,作品,289
766,东方,60
767,之,1146
768,珠,7
769,听众,19
770,耳熟能详,1
771,歌曲,45
772,改编,19
773,器乐曲,2
774,其,840
775,感人,22
776,旋律,16
777,抒发,8
778,洗雪,4
779,耻辱,2
780,明天,64
781,情感,39
782,专程,24
783,回国,35
784,女高音,1
785,歌唱家,12
786,迪里拜尔,1
787,演唱,34
788,春,79
789,声,59
790,带,216
791,万象更新,5
792,田野,14
793,山谷,2
794,享誉,12
795,乐坛,2
796,男高音,1
797,莫,19
798,华伦,1
799,歌剧,38
800,图兰朵,1
801,选段,4
802,今夜,3
803,无,358
804,入睡,3
805,带入,14
806,迷人,10
807,艺术,482
808,境地,9
809,小提琴,6
810,协奏曲,7
811,梁,109
812,山伯,2
813,英台,2
814,柴可夫斯基,4
815,第四,99
816,交响曲,7
817,乐章,4
818,交响诗,1
819,罗马,32
820,松树,6
821,座无虚席,5
822,被,944
823,艺术家,75
824,表演,110
825,深深,48
826,打动,10
827,报,137
828,经久不息,2
829,热烈,98
830,掌声,40
831,频频,12
832,谢幕,1
833,依次,12
834,返,9
835,曲目,7
836,最后,215
837,红色,18
838,娘子军,3
839,选曲,2
840,白毛女,1
841,喜讯,23
842,边寨,3
843,达到,350
844,高潮,45
845,舞台,103
846,亲切,112
847,会见,288
848,祝贺,90
849,他们,1339
850,留念,12
851,铁映,49
852,贾,76
853,庆林,29
854,曾,403
855,庆红,22
856,出席,180
857,考察,100
858,职工,888
859,节日,183
860,坚守,18
861,岗位,124
862,表示,704
863,慰问,159
864,振英,8
865,宿堂,7
866,今天,814
867,一九九七年,41
868,天,586
869,国务院,446
870,总理,481
871,上午,137
872,来到,210
873,石景山,7
874,发电,26
875,总厂,18
876,将要,17
877,期间,285
878,九时,2
879,二十分,1
880,书记,341
881,市长,107
882,陪同,40
883,位于,65
884,西郊,4
885,始建,4
886,于,1213
887,一九一九年,1
888,华北,52
889,电力,207
890,集团公司,85
891,骨干,66
892,承担,122
893,着,1685
894,供电,28
895,供热,18
896,装机,2
897,总,313
898,容量,29
899,一百一十六点六万,1
900,千瓦,16
901,年发电量,1
902,四十五亿,1
903,千瓦时,30
904,八百,5
905,百万,34
906,大卡,1
907,小时,126
908,现,72
909,面积,160
910,已,1600
911,达,654
912,平方米,117
913,早,148
914,担任,107
915,电管局,2
916,时,1351
917,多次,96
918,检查,208
919,属,84
920,热电厂,3
921,首先,211
922,电厂,16
923,负责人,132
924,详细,29
925,询问,39
926,目前,621
927,电网,26
928,随后,47
929,他,2722
930,实地,13
931,察看,9
932,发电机组,4
933,运行,164
934,一号机,1
935,二号机,1
936,控制室,3
937,一一,12
938,握手,12
939,说,2543
940,到来之际,16
941,机会,142
942,回到,71
943,感到,171
944,年轻,88
945,面孔,12
946,说明,116
947,老,302
948,退,37
949,下来,115
950,一代,28
951,年轻人,38
952,成长,55
953,成熟,64
954,欣慰,11
955,作为,528
956,工作者,90
957,你们,123
958,重大,326
959,保障,163
960,自己,930
961,感谢,121
962,拉,102
963,闸,5
964,限,6
965,依靠,104
966,不再,91
967,重演,5
968,安全,372
969,调度,17
970,方式,314
971,转变,182
972,电业,1
973,全,307
974,北京市,169
975,拜年,93
976,新春,210
977,工厂,67
978,退休,52
979,郭,117
980,树范,2
981,闫,3
982,戌麟,2
983,家,833
984,看望,75
985,曾经,55
986,高级,114
987,工程师,25
988,前,747
989,一直,184
990,发电厂,8
991,从事,129
992,土建工程,3
993,老伴,24
994,抚养,9
995,身体,75
996,欠佳,4
997,孙子,11
998,倾心,4
999,照顾,31
1000,下一代,3
1001,肯定,96
1002,后代,11
1003,可以,698
1004,事,237
1005,当然,86
1006,孩子,323
1007,溺爱,2
1008,让,520
1009,健康,253
1010,老工人,11
1011,了解,274
1012,老闫,1
1013,厂里,2
1014,先进,358
1015,评为,42
1016,五好,2
1017,住房,367
1018,奔波,8
1019,具体,229
1020,回忆,39
1021,起,945
1022,当年,88
1023,情景,44
1024,比,498
1025,差,76
1026,少,244
1027,计较,6
1028,什么,309
1029,只,594
1030,一心,8
1031,想,362
1032,建,192
1033,无私奉献,14
1034,可,627
1035,丢,18
1036,部门,924
1037,史,42
1038,大桢,3
1039,严,34
1040,秀诗,5
1041,阳,20
1042,安江,2
1043,红灯,16
1044,迎,100
1045,安徽省,44
1046,合肥市,13
1047,长江路,5
1048,悬挂,15
1049,盏,24
1050,大,2244
1051,红灯笼,5
1052,营造,44
1053,千,149
1054,灯笼,28
1055,凌空,5
1056,舞,31
1057,十,239
1058,长街,5
1059,别样,2
1060,红,83
1061,戴,101
1062,浩,10
1063,照片,113
1064,致,51
1065,慰问信,10
1066,发挥,334
1067,工人阶级,11
1068,主力军,8
1069,作用,510
1070,建功立业,11
1071,总工会,28
1072,今日,47
1073,宏伟,27
1074,长期,243
1075,阶级,16
1076,生产力,100
1077,生产关系,11
1078,安定团结,2
1079,中坚,7
1080,投身,13
1081,站,155
1082,前列,16
1083,市场,1604
1084,意识,176
1085,效益,195
1086,转机建制,1
1087,调整,426
1088,结构,494
1089,管理,1107
1090,献计献策,5
1091,开展,522
1092,劳动,177
1093,竞赛,32
1094,合理化,3
1095,建议,165
1096,革新,19
1097,协作,42
1098,发明,23
1099,产品,776
1100,质量,420
1101,经济效益,104
1102,加快,232
1103,再,603
1104,创,117
1105,对待,54
1106,树立,93
1107,战胜,82
1108,勇气,25
1109,锲而不舍,5
1110,迎难而上,1
1111,主人翁,8
1112,姿态,14
1113,当家作主,7
1114,权利,56
1115,自身,126
1116,素质,307
1117,爱国,47
1118,爱厂如家,1
1119,爱岗敬业,7
1120,科学,306
1121,知识,208
1122,成为,664
1123,本职工作,4
1124,行家里手,3
1125,迎接,69
1126,紧密,84
1127,周围,92
1128,充分,270
1129,共产主义,23
1130,战士,137
1131,久经考验,7
1132,无产阶级,30
1133,革命家,28
1134,澜涛,44
1135,逝世,36
1136,忠诚,20
1137,我党,35
1138,党务,6
1139,统一战线,27
1140,杰出,28
1141,原,164
1142,顾问,39
1143,委员会,405
1144,常务,53
1145,委员,185
1146,协商,59
1147,会议,781
1148,六,121
1149,副,953
1150,因,350
1151,病,69
1152,医治,8
1153,无效,14
1154,分,397
1155,终年,5
1156,岁,380
1157,生前,24
1158,遗愿,2
1159,家属,35
1160,意见,180
1161,丧事,4
1162,从简,5
1163,仪式,137
1164,保留,35
1165,骨灰,5
1166,西藏,116
1167,雪灾,34
1168,救灾,163
1169,全力,28
1170,抗灾,28
1171,力争,45
1172,降低,102
1173,灾害,58
1174,损失,160
1175,自治区,228
1176,泽仁桑珠,3
1177,接受,222
1178,采访,97
1179,介绍,309
1180,特大,39
1181,灾情,35
1182,指示,59
1183,做好,152
1184,造成,257
1185,受,268
1186,厄尔尼诺,7
1187,现象,226
1188,影响,538
1189,唐古拉山,3
1190,喜马拉雅山,3
1191,一线,12
1192,提前,67
1193,开始,550
1194,降雪,23
1195,持续,256
1196,断,60
1197,月份,78
1198,南,149
1199,支槽,1
1200,云系,1
1201,北部,50
1202,冷空气,39
1203,那曲,33
1204,阿里,11
1205,日喀则,6
1206,拉萨,35
1207,山南,2
1208,昌都,2
1209,市,372
1210,不同,333
1211,过程,269
1212,其中,441
1213,一部分,60
1214,成,472
1215,重,153
1216,灾,17
1217,自,259
1218,余,352
1219,包括,309
1220,强,246
1221,遭受,58
1222,严重,338
1223,袭击,42
1224,尼玛县,2
1225,安多县,5
1226,县,285
1227,乡,138
1228,有的,287
1229,毫米,11
1230,受灾,30
1231,现代,231
1232,气象,50
1233,记录,53
1234,最,1056
1235,灾区,282
1236,党委,171
1237,大部分,62
1238,抗救灾,2
1239,第一线,15
1240,粮食,163
1241,燃料,19
1242,冬衣,1
1243,灾民,133
1244,手中,83
1245,帮助,323
1246,加大,225
1247,牲畜,13
1248,出栏,10
1249,组诛,1
1250,畜产品,5
1251,收购,69
1252,做,540
1253,实实在在,15
1254,卓有成效,16
1255,全区,69
1256,党政军民,5
1257,总动员,1
1258,支援,47
1259,为止,26
1260,冻,15
1261,饿,12
1262,死亡,49
1263,人民政府,98
1264,正,371
1265,带领,89
1266,奋力,23
1267,动员,71
1268,调运,13
1269,急需,32
1270,救助,64
1271,物资,126
1272,坚定,53
1273,作,335
1274,后盾,4
1275,优越,6
1276,制度,534
1277,预报,59
1278,元月,14
1279,分析,224
1280,暖湿气流,19
1281,晚上,99
1282,贵州,54
1283,南部,72
1284,江南,78
1285,华南,52
1286,西部,80
1287,小到中雨,20
1288,较,496
1289,新疆,106
1290,甘肃,29
1291,青海,26
1292,宁夏,46
1293,内蒙古,68
1294,大部,75
1295,级,113
1296,偏,61
1297,北风,28
1298,前锋,4
1299,过,824
1300,上述,104
1301,气温,92
1302,下降,169
1303,摄氏度,52
1304,东部,89
1305,黑龙江,37
1306,西北部,4
1307,小雪,19
1308,侨办,5
1309,贺词,24
1310,胡,193
1311,晓梦,2
1312,吴,282
1313,亚明,8
1314,至,561
1315,侨务,17
1316,办公室,101
1317,主任,320
1318,东坡,3
1319,新闻,357
1320,媒介,34
1321,国内,337
1322,归侨,9
1323,侨眷,9
1324,中华人民共和国,58
1325,庄严,20
1326,饱受,8
1327,屈辱,2
1328,终于,100
1329,怀抱,18
1330,大会,97
1331,战略,341
1332,描绘,17
1333,蓝图,8
1334,此,533
1335,豪情,6
1336,长期以来,26
1337,爱国同胞,1
1338,所在国,6
1339,做出,124
1340,大业,39
1341,显著,100
1342,崇高,54
1343,敬意,15
1344,衷心,30
1345,团圆,9
1346,中华民族,115
1347,振兴,88
1348,实行,421
1349,播音员,11
1350,主持人,20
1351,持证,6
1352,上岗,47
1353,资格,46
1354,证书,37
1355,颁证,2
1356,陆军,11
1357,从,1914
1358,电影,120
1359,电视,224
1360,部,180
1361,获悉,45
1362,用,762
1363,时间,447
1364,影视,43
1365,系统,319
1366,陆续,49
1367,政治局,127
1368,部长,267
1369,孙,186
1370,家正,5
1371,语委,1
1372,许,138
1373,嘉璐,4
1374,语言,84
1375,提,69
1376,出来,203
1377,它,658
1378,宣传,234
1379,队伍,207
1380,文字,73
1381,标准化,13
1382,规范化,40
1383,举措,60
1384,汉语,27
1385,普通话,19
1386,测试,24
1387,业务,209
1388,考核,55
1389,颁证会,2
1390,称赞,33
1391,法制化,13
1392,责任,230
1393,神圣,14
1394,一言一行,4
1395,涉及,109
1396,利益,290
1397,安稳,7
1398,鼓励,134
1399,播音,2
1400,主持,116
1401,言行,12
1402,崭新,29
1403,风貌,23
1404,田,97
1405,聪明,12
1406,家宝,41
1407,农村,660
1408,打,226
1409,扶贫,357
1410,攻坚战,26
1411,贵阳,18
1412,子富,1
1413,书记处,54
1414,温,52
1415,日前,239
1416,本世纪,50
1417,末,73
1418,人口,228
1419,温饱,41
1420,深远,20
1421,开发,485
1422,力度,225
1423,省委,155
1424,方仁,3
1425,黔,5
1426,东南,10
1427,苗族,33
1428,侗族,5
1429,自治州,29
1430,黔南,1
1431,布依族,4
1432,冒雨,7
1433,转达,45
1434,关怀,34
1435,贵州省,18
1436,抓,221
1437,大量,229
1438,减少,227
1439,状况,178
1440,明显,238
1441,农民,618
1442,家中,62
1443,研究,755
1444,路子,53
1445,尤其,158
1446,放在,110
1447,吃饭,27
1448,面向,99
1449,需求,187
1450,利用,347
1451,当地,253
1452,资源,286
1453,多种,168
1454,经营,533
1455,增加,442
1456,收入,317
1457,农田水利,22
1458,工地,31
1459,农田,17
1460,基本建设,18
1461,植树造林,4
1462,治水改土,1
1463,生态,76
1464,脱贫,96
1465,比较,191
1466,坚实,32
1467,物质,94
1468,之上,25
1469,黔南州,1
1470,学校,240
1471,师生,21
1472,交谈,35
1473,面貌,50
1474,教育,676
1475,落后,85
1476,义务教育,11
1477,成人,31
1478,形式,347
1479,推广,144
1480,实用,33
1481,增产,40
1482,增效,12
1483,易于,4
1484,送给,34
1485,用于,111
1486,脱贫致富,49
1487,贫困户,57
1488,促膝交谈,2
1489,艰巨,50
1490,细,22
1491,村,172
1492,户,259
1493,逐村逐户,1
1494,措施,429
1495,项目,504
1496,搞好,93
1497,信息,371
1498,地方,451
1499,扶贫济困,17
1500,对口,25
1501,自力更生,19
1502,艰苦创业,14
1503,双手,25
1504,座谈,39
1505,勉励,14
1506,基层,217
1507,春节,410
1508,安排,173
1509,王,922
1510,思齐,3
1511,常委,93
1512,省长,88
1513,袁,72
1514,荣贵,5
1515,永波,17
1516,全军,43
1517,武警,85
1518,典型,168
1519,部队,304
1520,罗,186
1521,玉文,7
1522,中央军委,97
1523,总政治部,28
1524,军队,172
1525,革命化,4
1526,正规化,12
1527,应邀,25
1528,中宣部,25
1529,座谈会,84
1530,徐,220
1531,洪刚,2
1532,素云,9
1533,国安,14
1534,邹,49
1535,延龄,3
1536,军医,9
1537,大学,272
1538,学员,48
1539,二,336
1540,大队,29
1541,尔青,1
1542,国旗,30
1543,护卫队,7
1544,建华,42
1545,事迹,56
1546,美德,18
1547,我军,60
1548,完美,12
1549,结合,393
1550,体现,187
1551,市场经济,236
1552,相,230
1553,适应,179
1554,支,184
1555,模范,100
1556,辈出,3
1557,示范,50
1558,激励,48
1559,感召,2
1560,奋发向上,5
1561,风气,47
1562,各自,63
1563,国防,86
1564,聪明才智,8
1565,句,118
1566,话,166
1567,总政,11
1568,周,528
1569,子玉,4
1570,唐,67
1571,天标,1
1572,守芳,2
1573,淮,13
1574,工业,344
1575,污染源,5
1576,达标,24
1577,排放,17
1578,淮河,39
1579,治污,10
1580,战役,42
1581,告捷,7
1582,蚌埠,1
1583,黄,196
1584,振中,9
1585,白,130
1586,剑峰,4
1587,钟声,21
1588,刚刚,103
1589,敲响,23
1590,传来,27
1591,沿,39
1592,削减,29
1593,污染,90
1594,负荷,8
1595,以上,379
1596,治,75
1597,污,2
1598,环保局,25
1599,局长,96
1600,解,26
1601,振华,12
1602,庄重,5
1603,宣布,246
1604,流域,32
1605,治理,99
1606,施工,82
1607,停产,21
1608,由于,439
1609,原因,271
1610,破产,52
1611,转产,5
1612,无望,4
1613,责令,33
1614,关停,8
1615,据,351
1616,监测,52
1617,总站,3
1618,公布,115
1619,最新,66
1620,数据,47
1621,表明,189
1622,干流,2
1623,支流,4
1624,水质,12
1625,断面,2
1626,昨天,88
1627,艘,38
1628,监测船,1
1629,穿梭,8
1630,各个,118
1631,水样,1
1632,监理,6
1633,省政府,68
1634,下达,14
1635,关停令,1
1636,随,65
1637,执法,118
1638,安徽,45
1639,大泽,1
1640,酒厂,2
1641,目睹,16
1642,车间,21
1643,贴,37
1644,封条,1
1645,苦,46
1646,自动,27
1647,聚集,27
1648,门口,25
1649,拍手称快,1
1650,几,766
1651,付出,49
1652,巨大,196
1653,投入,269
1654,相当,142
1655,人力,30
1656,财力,23
1657,步,125
1658,巩固,88
1659,设备,200
1660,正常,95
1661,运转,22
1662,监督,273
1663,防止,78
1664,反复,43
1665,座,167
1666,城市,379
1667,污水,19
1668,处理厂,8
1669,省,321
1670,脚踏实地,16
1671,旅游年,17
1672,九八,6
1673,华夏,21
1674,城乡游,9
1675,隆重,33
1676,启幕,1
1677,干,236
1678,开幕式,11
1679,苏州,15
1680,龚,44
1681,雯,12
1682,子夜,4
1683,随着,156
1684,寒山寺,1
1685,撞,24
1686,响,35
1687,第,21
1688,姑苏,1
1689,城内,3
1690,片,149
1691,欢腾,4
1692,国务委员,48
1693,正式,185
1694,开幕,32
1695,旅游局,10
1696,光,74
1697,江苏,99
1698,数千,28
1699,宾朋,1
1700,国家级,37
1701,促销,13
1702,九五,52
1703,旅游,187
1704,致词,17
1705,统计,219
1706,来华,38
1707,人数,101
1708,人次,114
1709,亿,914
1710,美元,645
1711,上年,139
1712,同期,71
1713,预计,86
1714,全年,98
1715,入境,12
1716,约,211
1717,创汇,24
1718,纪录,105
1719,及,680
1720,大幅,62
1721,推出,139
1722,古城,15
1723,新貌,3
1724,乡村,57
1725,专题,37
1726,游客,78
1727,展示,80
1728,城乡,61
1729,巨变,9
1730,童话,14
1731,冰城,2
1732,哈尔滨市,19
1733,儿童,106
1734,公园,54
1735,准备,213
1736,特殊,108
1737,贺岁,6
1738,礼物,22
1739,冰雕,6
1740,这里,345
1741,奇观,3
1742,迷宫,4
1743,景区,5
1744,展出,24
1745,图,173
1746,姜,65
1747,左,60
1748,儿子,77
1749,万万,4
1750,恐龙,17
1751,故事,105
1752,确,30
1753,发言人,66
1754,谈,171
1755,明年,27
